container_id,receptacle_model_id,assignment_date,last_updated_date,group_name,address,city,state,zip,neighborhood,dpw_division,council_district,ward,fire_zone,x,y
12,74,2017-09-19T12:22:46,2022-04-06T01:38:24,1st Division,2515 Preble Ave,Pittsburgh,Pennsylvania,15233,Marshall-Shadeland,1,1,27,1-14,-80.03675,40.46314
13,74,2017-09-19T12:22:46,2022-04-06T01:31:33,1st Division,3876 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,26,1-15,-80.01830412,40.48929458
15,74,2017-09-19T12:22:46,2022-04-06T07:35:26,1st Division,2344 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,6,26,1-12,-80.00985725,40.46755881
16,74,2017-09-19T12:22:46,2022-04-06T01:38:16,1st Division,308 Catoma Street,Pittsburgh,Pennsylvania,15212,Fineview,1,6,25,1-10,-80.00420064,40.46053854
17,74,2017-09-19T12:22:46,2022-04-06T01:51:27,1st Division,1438 Columbus Ave,Pittsburgh,Pennsylvania,15233,Manchester,1,6,21,1-8,-80.02884,40.45738
18,74,2017-09-19T12:22:46,2022-04-06T01:34:23,1st Division,2639 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,6,26,1-23,-80.00994486,40.47174057
19,74,2017-09-19T12:22:47,2022-04-06T01:43:23,1st Division,910 Galveston Ave,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,22,1-7,-80.01660954,40.4523624
20,74,2017-09-19T12:22:47,2022-04-06T09:35:26,1st Division,3957 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,26,1-15,-80.01977679,40.4909868
21,74,2017-09-19T12:22:47,2022-04-06T13:30:21,1st Division,2909 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,26,1-23,-80.01160545,40.47516151
22,74,2017-09-19T12:22:47,2022-04-05T13:17:33,1st Division,3472 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,26,1-15,-80.01348486,40.48421285
23,74,2017-09-19T12:22:47,2022-04-06T01:47:16,1st Division,1305 Allegheny Ave,Pittsburgh,Pennsylvania,15233,Manchester,1,6,21,1-8,-80.01994,40.45429
24,74,2017-09-19T12:22:47,2022-04-06T01:38:21,1st Division,1414 Brighton Rd,Pittsburgh,Pennsylvania,15212,Central Northside,1,6,25,1-21,-80.01546,40.45676
25,74,2017-09-19T12:22:47,2022-04-06T01:52:23,1st Division,1211 Troy Hill Rd,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-5,-79.98943988,40.45755571
26,74,2017-09-19T12:22:47,2022-04-06T01:52:18,1st Division,2320 California Ave,Pittsburgh,Pennsylvania,15233,Marshall-Shadeland,1,6,21,1-9,-80.03105677,40.4621584
27,74,2017-09-19T12:22:47,2022-04-06T01:59:32,1st Division,404 Cedar Avenue,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-20,-80.0011,40.45187
28,74,2017-09-19T12:22:47,2022-04-06T16:40:21,1st Division,320 E North Ave,Pittsburgh,Pennsylvania,15212,Allegheny Center,1,1,22,1-6,-80.00298,40.45612
29,74,2017-09-19T12:22:47,2022-04-05T13:24:32,1st Division,3461 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,26,1-15,-80.01329,40.48383
30,74,2017-09-19T12:22:47,2022-04-06T01:37:20,1st Division,3607 Brighton Rd,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03426,40.48179
31,74,2017-09-19T12:22:47,2022-04-06T01:53:24,1st Division,1814 Homer St,Pittsburgh,Pennsylvania,15212,Spring Hill-City View,1,1,24,1-24,-79.991222,40.465255
32,74,2017-09-19T12:22:47,2022-04-06T12:35:23,1st Division,1819 Manhattan St,Pittsburgh,Pennsylvania,15233,Manchester,1,6,21,1-8,-80.02782829,40.45853148
33,74,2017-09-19T12:22:47,2022-04-06T01:54:23,1st Division,3159 Shadeland Ave,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.03200221,40.47488079
34,74,2017-09-19T12:22:47,2022-04-06T01:31:22,1st Division,862 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-5,-79.99548343,40.45769103
35,74,2017-09-19T12:22:47,2022-04-06T08:35:22,1st Division,1483 Benton Ave,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.04044388,40.4844099
36,74,2017-09-19T12:22:47,2022-04-06T02:01:25,1st Division,1800 Meadville St,Pittsburgh,Pennsylvania,15214,Fineview,1,1,25,1-10,-80.00553206,40.46200898
37,74,2017-09-19T12:22:47,2022-04-06T01:44:17,1st Division,208 Jacksonia Street,Pittsburgh,Pennsylvania,15212,Central Northside,1,6,25,1-21,-80.00962178,40.45793057
38,74,2017-09-19T12:22:47,2022-04-06T01:33:30,1st Division,1108 Federal Street,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,22,1-6,-80.00664,40.45584
39,74,2017-09-19T12:22:47,2022-04-06T13:23:22,1st Division,1201 Woods Run Avenue,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.03038624,40.47636429
40,74,2017-09-19T12:22:47,2022-04-06T01:38:23,1st Division,416 West North Avenue,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,22,1-21,-80.01144,40.45461
41,74,2017-09-19T12:22:47,2022-04-06T01:55:25,1st Division,623 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-6,-79.99814805,40.4538645
42,74,2017-09-19T12:22:47,2022-04-06T10:35:22,1st Division,6 W North Ave,Pittsburgh,Pennsylvania,15212,Allegheny Center,1,1,22,1-21,-80.00690988,40.45531316
43,74,2017-09-19T12:22:48,2022-04-06T01:50:19,1st Division,2919 California Ave,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.03630773,40.47076996
44,74,2017-09-19T12:22:48,2022-04-06T01:56:26,1st Division,2101 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,6,25,1-10,-80.01213758,40.46377353
45,74,2017-09-19T12:22:48,2022-04-06T01:44:24,1st Division,3934 Brighton Rd,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03811,40.48721
46,74,2017-09-19T12:22:48,2022-04-05T13:23:22,1st Division,1200 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,Spring Garden,1,1,24,1-5,-79.9915477,40.46016318
47,74,2017-09-19T12:22:48,2022-03-31T13:27:58,1st Division,924 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-5,-79.99456497,40.45810862
48,74,2017-09-19T12:22:48,2022-04-06T01:58:25,1st Division,1709 Lowrie St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98226,40.46409
50,74,2017-09-19T12:22:48,2022-04-06T08:35:22,1st Division,1442 Lowrie St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98507309,40.46125804
51,74,2017-09-19T12:22:48,2022-04-06T01:42:22,1st Division,3302 Fleming Ave,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03763581,40.47537435
52,74,2017-09-19T12:22:48,2022-04-06T01:49:17,1st Division,2441 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,6,26,1-12,-80.00952306,40.46880532
53,74,2017-09-19T12:22:48,2022-04-06T01:46:32,1st Division,1034 Peralta Street,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,23,1-5,-79.99160852,40.45652112
54,74,2017-09-19T12:22:48,2022-04-06T01:58:24,1st Division,1918 Lowrie St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98086558,40.46625873
55,74,2017-09-19T12:22:48,2022-04-05T01:34:27,1st Division,2625 Shadeland Ave,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.03017453,40.46911638
56,74,2017-09-19T12:22:48,2022-04-06T01:34:23,1st Division,3400 Shadeland Ave,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03335239,40.47715614
57,74,2017-09-19T12:22:48,2022-04-06T01:53:23,1st Division,1800 Lowrie St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98197,40.46467
58,74,2017-09-19T12:22:48,2022-04-06T02:01:24,1st Division,East Street,Pittsburgh,Pennsylvania,15214,Perry North,1,1,26,1-15,-80.00995,40.48626
59,74,2017-09-19T12:22:48,2022-04-06T01:45:36,1st Division,620 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-6,-79.99840786,40.4539445
60,74,2017-09-19T12:22:48,2022-04-06T01:56:22,1st Division,600 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-6,-79.99902274,40.45385506
62,74,2017-09-19T12:22:48,2022-04-06T01:55:20,1st Division,1440 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,Spring Garden,1,1,24,1-24,-79.986772,40.462838
63,74,2017-09-19T12:22:48,2022-04-06T01:49:06,1st Division,3572 Brighton Rd,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03281454,40.48101198
64,74,2017-09-19T12:22:48,2022-04-06T01:52:36,1st Division,848 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-5,-79.99532499,40.45459974
65,74,2017-09-19T12:22:48,2022-04-06T01:55:22,1st Division,3152 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.02989303,40.4751136
66,74,2017-09-19T12:22:48,2022-04-06T01:55:27,1st Division,3141 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.02980672,40.47484042
67,74,2017-09-19T12:22:49,2022-04-06T09:35:19,1st Division,3878 Brighton Rd,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03658,40.48629
68,74,2017-09-19T12:22:49,2022-04-06T01:58:21,1st Division,3801 Brighton Rd,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03603,40.48451
69,74,2017-09-19T12:22:49,2022-04-06T13:10:24,1st Division,1351 Damas Street,Pittsburgh,Pennsylvania,15212,Spring Hill-City View,1,1,24,1-11,-79.98967,40.4654
70,74,2017-09-19T12:22:49,2022-04-06T02:02:26,1st Division,2703 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.02571592,40.47001158
71,74,2017-09-19T12:22:49,2022-04-06T06:35:25,1st Division,705 Brighton Rd,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,22,1-7,-80.01359392,40.4507338
73,74,2017-09-19T12:22:49,2022-04-06T02:00:27,1st Division,632 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-6,-79.99784197,40.45405152
74,74,2017-09-19T12:22:49,2022-04-06T01:42:19,1st Division,1620 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,Spring Garden,1,1,26,1-11,-79.98535325,40.46644398
75,74,2017-09-19T12:22:49,2022-04-06T01:39:21,1st Division,863 Peralta Street,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-5,-79.99490475,40.45576316
76,74,2017-09-19T12:22:49,2022-04-06T01:57:18,1st Division,2403 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,6,26,1-12,-80.00998385,40.46766993
77,74,2017-09-19T12:22:49,2022-04-06T01:34:24,1st Division,1246 Brighton Rd,Pittsburgh,Pennsylvania,15233,Central Northside,1,1,22,1-21,-80.015151,40.455852
78,74,2017-09-19T12:22:49,2022-04-06T01:42:16,1st Division,2723 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.02596616,40.47079648
80,74,2017-09-19T12:22:49,2022-04-06T15:35:18,1st Division,1300 Federal St,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,22,1-6,-80.00693724,40.45672884
81,74,2017-09-19T12:22:49,2022-04-06T01:35:16,1st Division,500 Cedar Avenue,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-20,-80.00127,40.45211
82,74,2017-09-19T12:22:49,2022-04-06T01:30:22,1st Division,2117 Lowrie St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.97854,40.46926
83,74,2017-09-19T12:22:49,2022-04-06T13:35:21,1st Division,401 W Commons St,Pittsburgh,Pennsylvania,15212,Allegheny Center,1,1,22,1-6,-80.00720844,40.45056798
85,74,2017-09-19T12:22:49,2022-04-06T01:56:25,1st Division,402 Catoma Street,Pittsburgh,Pennsylvania,15212,Fineview,1,6,25,1-10,-80.00398461,40.46058128
86,74,2017-09-19T12:22:49,2022-04-06T01:54:23,1st Division,1619 Manhattan St,Pittsburgh,Pennsylvania,15233,Manchester,1,6,21,1-8,-80.02717312,40.45676285
87,74,2017-09-19T12:22:49,2022-04-06T14:51:23,1st Division,2515 Preble Ave,Pittsburgh,Pennsylvania,15233,Marshall-Shadeland,1,1,27,1-14,-80.03568,40.46292
88,74,2017-09-19T12:22:49,2022-04-06T01:42:18,1st Division,4000 Brighton Rd,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.0410521,40.48761211
89,74,2017-09-19T12:22:49,2022-04-06T01:35:24,1st Division,3414 East Street,Pittsburgh,Pennsylvania,15214,Northview Heights,1,1,26,1-15,-80.0059,40.48232
90,74,2017-09-19T12:22:49,2022-04-06T01:55:24,1st Division,3244 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.03161787,40.47639992
91,74,2017-09-19T12:22:49,2022-04-06T01:52:22,1st Division,3202 Brighton Road,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.03065,40.47558
92,74,2017-09-19T12:22:50,2022-04-06T01:47:24,1st Division,1603 Beaver Avenue,Pittsburgh,Pennsylvania,15233,Chateau,1,6,21,1-8,-80.03011,40.45626
93,74,2017-09-19T12:22:50,2022-04-06T01:37:22,1st Division,3243 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,27,1-14,-80.0317893,40.47642722
94,74,2017-09-19T12:22:50,2022-04-06T13:35:21,1st Division,632 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-6,-79.99809336,40.45401323
95,74,2017-09-19T12:22:50,2022-04-06T10:35:22,1st Division,1845 Ley St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.981788,40.465942
96,74,2017-09-19T12:22:50,2022-04-06T01:52:22,1st Division,1320 Troy Hill Rd,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98577,40.45967
97,74,2017-09-19T12:22:50,2022-04-06T01:46:23,1st Division,1413 Troy Hill Rd,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98580613,40.45987165
98,74,2018-02-06T15:18:08,2022-04-06T02:00:26,1st Division,1310 Benton Ave,Pittsburgh,Pennsylvania,15212,Brighton Heights,1,1,27,1-14,-80.03636,40.48439
99,74,2017-09-19T12:22:50,2022-04-06T01:34:24,1st Division,1612 Lowrie St,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,24,1-2,-79.98314,40.46307
100,74,2017-09-19T12:22:50,2022-04-06T01:40:24,1st Division,862 Western Ave,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,22,1-7,-80.01630793,40.45206211
101,74,2017-09-19T12:22:50,2022-04-06T16:35:24,1st Division,857 Western Ave,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,22,1-7,-80.01619774,40.4519991
102,74,2017-09-19T12:22:50,2022-04-06T01:54:24,1st Division,900 Western Ave,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,22,1-7,-80.01669,40.45191
103,74,2017-09-19T12:22:50,2022-04-06T01:43:21,1st Division,818 Western Ave,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,22,1-7,-80.01482,40.45233
105,74,2017-09-19T12:22:50,2022-04-06T01:36:34,1st Division,540 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,23,1-6,-79.99926793,40.45381161
